step,time,loss,acc
0,2024-06-16T21:17:32.255824,0.7375,0.5000
5,2024-06-16T21:17:33.314292,0.8068,0.4900
10,2024-06-16T21:17:34.262514,0.5825,0.5500
15,2024-06-16T21:17:34.948977,0.3450,0.8400
20,2024-06-16T21:17:35.551795,0.1538,0.9400
25,2024-06-16T21:17:36.157634,0.1352,0.9600
30,2024-06-16T21:17:36.654687,0.0621,0.9800
35,2024-06-16T21:17:37.272478,0.0938,0.9900
40,2024-06-16T21:17:37.799032,0.1352,0.9200
45,2024-06-16T21:17:38.478288,0.1542,0.9400
50,2024-06-16T21:17:38.924610,0.1305,0.9500
55,2024-06-16T21:17:39.575380,0.0629,0.9700
60,2024-06-16T21:17:39.940175,0.1169,0.9600
65,2024-06-16T21:17:40.684321,0.0979,0.9500
70,2024-06-16T21:17:40.931265,0.0946,0.9600
75,2024-06-16T21:17:41.455164,0.0390,0.9700
80,2024-06-16T21:17:41.826733,0.0757,0.9700
85,2024-06-16T21:17:42.231612,0.1223,0.9500
